rho,D,gamma_eff,base_E,extra_E,added_E,rho_actual,d_eff,k95
0.0,2,0.0,2.0362968897491602,4.210232464194123e-15,0.0,0.0,1.9465178620356023,2
0.0,8,0.0,2.0362969096884456,6.031311734162975,0.0,0.0,1.9465178584691567,2
0.0,16,0.0,2.0362969451347466,13.900376743467207,0.0,0.0,1.9465178609529887,2
0.0,512,0.0,2.0362969253085557,510.6542928845471,0.0,0.0,1.9465178586314305,2
0.01,2,0.0,2.036296935164964,3.1367230090534435e-15,0.0,0.0,1.9465178608637925,2
0.01,8,0.05845941105119414,2.036296943635493,5.95843543746667,0.020362969436351516,0.009999999999993412,1.9876960423723247,2
0.01,16,0.038230465293564615,2.0362969233776034,13.932271775365239,0.020362969233774574,0.009999999999994373,1.9876833186055405,2
0.01,512,0.006314399465466199,2.0362969153079873,510.71309938117685,0.02036296915307983,0.009999999999995068,1.9877377410670076,2
0.03,2,0.0,2.0362968515683244,6.333213166849754e-15,0.0,0.0,1.946517862199089,2
0.03,8,0.10120207433726108,2.0362969905096615,5.964630507446196,0.0610889097152796,0.029999999999980237,2.0708659671504197,2
0.03,16,0.0661453357911474,2.0362969301568974,13.962523279371082,0.06108890790470255,0.029999999999983117,2.0711175575212355,2
0.03,512,0.010937006335320206,2.036296926245654,510.6995004674258,0.061088907787369494,0.0299999999999852,2.0714633016662227,2
0.1,2,0.0,2.036296918784519,3.042739138125599e-15,0.0,0.0,1.9465178607873153,2
0.1,8,0.1850451885858482,2.036296937626575,5.946829859793693,0.2036296937626233,0.09999999999993409,2.369744854825258,5
0.1,16,0.12097758094468528,2.0362969093883994,13.913337171210635,0.2036296909388253,0.0999999999999437,2.3741106524883144,9
0.1,512,0.01996948152452732,2.0362969243364666,510.6314113280144,0.2036296924336463,0.0999999999999507,2.3779960051026214,148
0.3,2,0.0,2.0362970311638913,9.819326644852437e-15,0.0,0.0,1.94651786006838,2
0.3,8,0.3203201316378023,2.036296930571966,5.953795216253683,0.610889079171487,0.2999999999998022,3.265461345935657,7
0.3,16,0.20967892912320982,2.036296981167438,13.894815752068531,0.6108890943501875,0.29999999999983107,3.3231718269989066,13
0.3,512,0.034585765500823505,2.03629692070672,510.7020182642258,0.6108890762120148,0.2999999999998521,3.368953491727613,307
1.0,2,0.0,2.0362968857627894,4.3179153274036274e-15,0.0,0.0,1.9465178618051597,2
1.0,8,0.5856765347459881,2.0362969397917485,5.936431488503717,2.0362969397914052,0.9999999999993403,6.024126354205433,8
1.0,16,0.38274436241642995,2.036296923227177,13.900278446018502,2.0362969232270305,0.9999999999994369,7.0923509067464705,15
1.0,512,0.06314246334527183,2.03629692191859,510.7378726178602,2.0362969219185865,0.9999999999995072,8.155111547847588,392
3.0,2,0.0,2.0362969010344867,3.4090855240479206e-15,0.0,0.0,1.946517861193183,2
3.0,8,1.0124174431552837,2.0362968944253264,5.959956849503832,6.108890683274955,2.999999999998024,7.913675220177911,8
3.0,16,0.6619401892716676,2.036296915995725,13.941992945089872,6.108890747986736,2.999999999998311,13.992112628271968,15
3.0,512,0.10937238349491497,2.036296921839603,510.6778324185914,6.108890765518797,2.9999999999985207,32.012653529310846,423
10.0,2,0.0,2.0362969213028577,2.976689101744166e-15,0.0,0.0,1.9465178604279958,2
10.0,8,1.8521620454397123,2.0362969292489006,5.935853114481431,20.362969292485577,9.999999999993404,6.960091841277364,7
10.0,16,1.212085592813114,2.0362968876152854,13.860360278492795,20.36296887615139,9.999999999994369,15.622129263919904,15
10.0,512,0.1996778031573317,2.0362969263464143,510.7184247738738,20.3629692634641,9.999999999995069,167.1672844572192,435
100,2,0.0,2.0362968618293364,5.567506827217533e-15,0.0,0.0,1.9465178612870597,2
100,8,5.855171213022621,2.0362969099960733,5.939664358509927,203.62969099957303,99.99999999993405,6.087048385114839,6
100,16,3.8270922915718932,2.0362968824927705,13.9028304162698,203.6296882492624,99.99999999994368,14.148823342073031,14
100,512,0.631476396989539,2.0362969220021165,510.65414341242104,203.62969220021122,99.99999999995067,405.306091587644,440
500,2,0.0,2.03629693509737,2.6087130197726455e-15,0.0,0.0,1.9465178610850529,2
500,8,13.123681622719992,2.036296985883406,5.911527998124517,1018.1484929415309,499.99999999966985,5.996962682229245,6
500,16,8.558055009200249,2.036296887854489,13.901477286494892,1018.1484439271716,499.99999999971857,13.941031677830894,14
500,512,1.4120383479284766,2.036296925461539,510.6438750567598,1018.1484627307675,499.9999999997534,407.552602818674,440
1000,2,0.0,2.0362970428451286,1.1567884748073231e-14,0.0,0.0,1.9465178624997077,2
1000,8,18.44816005790492,2.0362968796310836,5.983220109439508,2036.2968796307428,999.9999999993414,5.984926910251837,6
1000,16,12.083972038942088,2.0362968914211756,13.945101347499014,2036.2968914210298,999.9999999994373,13.916442422590132,14
1000,512,1.996822979517177,2.0362969230836616,510.6954319478269,2036.2969230836577,999.9999999995069,407.15717566613415,439
2000,2,0.0,2.0362969990156086,6.955670286741425e-15,0.0,0.0,1.9465178616669665,2
2000,8,26.0932834268751,2.036296926625581,5.981548634001439,4072.593853250481,1999.9999999986835,5.972132867568648,6
2000,16,17.066586195490956,2.036296906583661,13.982273090323819,4072.5938131670314,1999.999999998875,13.914491433561624,14
2000,512,2.823726787560251,2.0362969256099697,510.7704380461864,4072.593851219931,1999.9999999990137,406.8906118869435,439
